Date,Display_Month,Merchant,Description,Amount_ILS,Type,Category,IsInsurance,Source
2.2.2025,פבר׳.25,פסיכולוג,,920,זיכוי,"שירותי בריאות, יעוץ וטיפול",FALSE,BIT
10.10.2025,נוב׳.25,עמית ❤️👨🏻,,874,זיכוי,"בגדים, נעליים ואביזרים",FALSE,BIT
27.4.2026,מאי.26,‫דיסקונט/‫מנדלצויג עמי/‫העברה,,825,זיכוי,"בגדים, נעליים ואביזרים",FALSE,Bank Yahav
26.9.2025,אוק׳.25,מהבטמו אסאי,,800,הכנסה,הכנסה - עסק,FALSE,Paybox
9.2.2026,פבר׳.26,‫דיסקונט/‫מנדלצויג עמי/‫העברה,,741,זיכוי,לא מסווג,FALSE,Bank Yahav
1.9.2025,ספט׳.25,מהבטמו אסאי,,720,הכנסה,הכנסה - עסק,FALSE,Paybox
8.1.2026,ינו׳.26,ישיר-ביטוח,,704.75,זיכוי,ביטוח רכב,TRUE,MAX 4398
22.2.2025,מרץ.25,החזר ביטוח,,662,הוצאה,ביטוח רכב,TRUE,BIT
13.4.2026,מאי.26,אייל,,575,זיכוי,ביטוח רכב,TRUE,BIT
14.5.2025,יוני.25,Гена,,500,הכנסה,הכנסה אחרת,FALSE,BIT
17.8.2025,ספט׳.25,אמא,,500,זיכוי,מתנות,FALSE,BIT
6.1.2026,ינו׳.26,‫השתלמות אס אנד,,464.12,הכנסה,הכנסה אחרת,FALSE,Bank Yahav
23.7.2025,אוג׳.25,עמית ❤️👨🏻,,380,זיכוי,לא מסווג,FALSE,BIT
19.8.2025,ספט׳.25,מהבטמו אסאי,,380,הכנסה,הכנסה - עסק,FALSE,Paybox
22.10.2025,נוב׳.25,מהבטמו אסאי,,380,הכנסה,הכנסה - עסק,FALSE,Paybox
2.1.2025,ינו׳.25,פיזיותרפיה,,350,זיכוי,"שירותי בריאות, יעוץ וטיפול",FALSE,BIT
17.10.2025,נוב׳.25,"אוצר-חיל/אלשלם מקלר ש/(תשלום על הכנה""",,350,הכנסה,הכנסות עסק,FALSE,Bank Yahav
16.1.2026,פבר׳.26,‫דיסקונט/‫מנדלצויג עמי/‫העברה,,350,זיכוי,לא מסווג,FALSE,Bank Yahav
3.4.2026,אפר׳.26,‫דיסקונט/‫מנדלצויג עמי/‫העברה,,350,זיכוי,לא מסווג,FALSE,Bank Yahav
30.11.2025,דצמ׳.25,‫דיסקונט/‫מנדלצויג עמי/‫העברה,,330,זיכוי,"בגדים, נעליים ואביזרים",FALSE,Bank Yahav
19.3.2025,אפר׳.25,ישיבת עטרת שלמה,,320,הכנסה,הכנסות עסק,FALSE,Bank Yahav
4.4.2025,אפר׳.25,עידן,,320,זיכוי,"בגדים, נעליים ואביזרים",FALSE,BIT
1.5.2026,מאי.26,מיכאל אלמסי,,280,הוצאה,אחזקת בית ותיקונים,FALSE,BIT
28.5.2025,יוני.25,עמית,,252,זיכוי,"בגדים, נעליים ואביזרים",FALSE,BIT
9.11.2025,נוב׳.25,עמית ❤️👨🏻,,220,זיכוי,לא מסווג,FALSE,BIT
5.9.2025,ספט׳.25,מצנח,,200,זיכוי,פנאי - שונות,FALSE,BIT
26.4.2026,מאי.26,קניתי בגדים מהכסף שלך,,200,זיכוי,"בגדים, נעליים ואביזרים",FALSE,BIT
18.12.2025,ינו׳.26,‫דיסקונט/‫מנדלצויג עמי/‫העברה,,170,זיכוי,כושר,FALSE,Bank Yahav
30.3.2025,אפר׳.25,SURF-ANYWHERE.COM*MCB  ZEEWOLDE      NLD,,155.53,זיכוי,לא מסווג,FALSE,MAX 4398
8.4.2026,אפר׳.26,בטעות עמית חייב אותך,,155,זיכוי,אוכלים בחוץ - עמית,FALSE,BIT
30.3.2025,אפר׳.25,SURF-ANYWHERE.COM*MCB  ZEEWOLDE      NLD,,151.49,זיכוי,לא מסווג,FALSE,MAX 4398
10.10.2025,נוב׳.25,עמית ❤️👨🏻,,150,זיכוי,לא מסווג,FALSE,BIT
13.8.2025,ספט׳.25,עמית ❤️👨🏻,,140,זיכוי,לא מסווג,FALSE,BIT
7.2.2026,פבר׳.26,ביטוח עמית,,140,זיכוי,ביטוח רכב,TRUE,BIT
5.8.2025,אוג׳.25,סבתא מתנה,,135,זיכוי,מתנות ואירועים,FALSE,BIT
20.1.2026,פבר׳.26,‫קצבת ילדים,,115,הכנסה,קצבת ילדים,FALSE,Bank Yahav
20.2.2026,מרץ.26,‫קצבת ילדים,,115,הכנסה,קצבת ילדים,FALSE,Bank Yahav
17.3.2026,אפר׳.26,‫קצבת ילדים,,115,הכנסה,קצבת ילדים,FALSE,Bank Yahav
20.4.2026,מאי.26,‫קצבת ילדים,,115,הכנסה,קצבת ילדים,FALSE,Bank Yahav
20.1.2025,פבר׳.25,קצבת ילדים,,112,הכנסה,קצבת ילדים,FALSE,Bank Yahav
20.2.2025,מרץ.25,קצבת ילדים,,112,הכנסה,קצבת ילדים,FALSE,Bank Yahav
20.3.2025,אפר׳.25,קצבת ילדים,,112,הכנסה,קצבת ילדים,FALSE,Bank Yahav
20.4.2025,מאי.25,קצבת ילדים,,112,הכנסה,קצבת ילדים,FALSE,Bank Yahav
20.5.2025,יוני.25,קצבת ילדים,,112,הכנסה,קצבת ילדים,FALSE,Bank Yahav
20.6.2025,יולי.25,‫קצבת ילדים,,112,הכנסה,קצבת ילדים,FALSE,Bank Yahav
20.7.2025,אוג׳.25,קצבת ילדים,,112,הכנסה,קצבת ילדים,FALSE,Bank Yahav
20.8.2025,ספט׳.25,‫קצבת ילדים,,112,הכנסה,קצבת ילדים,FALSE,Bank Yahav
20.9.2025,אוק׳.25,‫קצבת ילדים,,112,הכנסה,קצבת ילדים,FALSE,Bank Yahav
20.10.2025,נוב׳.25,קצבת ילדים,,112,הכנסה,קצבת ילדים,FALSE,Bank Yahav
20.11.2025,דצמ׳.25,קצבת ילדים,,112,הכנסה,קצבת ילדים,FALSE,Bank Yahav
21.12.2025,ינו׳.26,‫קצבת ילדים,,112,הכנסה,קצבת ילדים,FALSE,Bank Yahav
31.5.2025,יוני.25,סופר והייטקזון,,110,זיכוי,"מזון, סופר ומכולת",FALSE,BIT
10.1.2025,פבר׳.25,עידן ❤️🧔🏻‍♂️,,108,זיכוי,"מזון, סופר ומכולת",FALSE,BIT
10.4.2026,מאי.26,יהונתן ולץ,,100,זיכוי,"מספרה, טיפוח ויופי",FALSE,BIT
30.1.2025,פבר׳.25,עמית,,94,זיכוי,"מזון, סופר ומכולת",FALSE,BIT
10.1.2025,פבר׳.25,עמית ❤️👨🏻,,89,זיכוי,"מזון, סופר ומכולת",FALSE,BIT
5.9.2025,ספט׳.25,מצנח,,80,זיכוי,פנאי - שונות,FALSE,BIT
7.9.2025,ספט׳.25,עידן,,71,זיכוי,"מזון, סופר ומכולת",FALSE,BIT
12.12.2025,ינו׳.26,עמית ❤️👨🏻,,65,זיכוי,לא מסווג,FALSE,BIT
30.7.2025,אוג׳.25,"ספייס מועדוני כושר בע""מ -",,59,זיכוי,כושר,FALSE,MAX 4398
10.1.2026,פבר׳.26,עמית ❤️👨🏻,,52,זיכוי,לא מסווג,FALSE,BIT
9.11.2025,נוב׳.25,עמית ❤️👨🏻,,50,זיכוי,לא מסווג,FALSE,BIT
24.12.2025,ינו׳.26,עמית ❤️👨🏻,,50,זיכוי,לא מסווג,FALSE,BIT
19.1.2026,פבר׳.26,UPAPP,,50,זיכוי,כושר,FALSE,MAX 4398
17.10.2025,נוב׳.25,מ. תחבורה - פנגו מוביט,,48,הוצאה,תחבורה ציבורית,FALSE,MAX 4398
21.4.2026,מאי.26,מאפה מבורך ...,,33,זיכוי,אוכלים בחוץ - עמית,FALSE,BIT
18.11.2025,דצמ׳.25,UPAPP,,25,זיכוי,כושר,FALSE,MAX 4398
8.1.2026,ינו׳.26,UPAPP,,25,זיכוי,כושר,FALSE,MAX 4398
14.4.2026,מאי.26,UPAPP (ביטול),,25,זיכוי,כושר,FALSE,MAX 4398
30.4.2025,מאי.25,קואופ מודיעין קייזר,,13.8,זיכוי,"מזון, סופר ומכולת",FALSE,CAL 8973
12.6.2025,יולי.25,בליקר בייקרי מודיעין,,12,זיכוי,אוכלים בחוץ - עמית,FALSE,MAX 7495
7.9.2025,ספט׳.25,עידן,,9,זיכוי,"מזון, סופר ומכולת",FALSE,BIT
28.11.2025,דצמ׳.25,GOOGLE*GOOGLE ONE,,5.1,זיכוי,"תקשורת, טלויזיה ואינטרנט",FALSE,CAL 4015
10.11.2025,דצמ׳.25,עיגול לתחום אנשים עם מוגבלויות,,0.62,הוצאה,תרומות,FALSE,MAX 7495
10.11.2025,דצמ׳.25,תחום אזרחים ותיקים וקהילות נזקקות,,0.62,הוצאה,תרומות,FALSE,MAX 7495
10.4.2025,מאי.25,עיגול לתחום אנשים עם מוגבלויות,,0.87,הוצאה,תרומות,FALSE,MAX 7495
10.4.2025,מאי.25,תחום אזרחים ותיקים וקהילות נזקקות,,0.88,הוצאה,תרומות,FALSE,MAX 7495
10.8.2025,ספט׳.25,עיגול לתחום אנשים עם מוגבלויות,,0.89,הוצאה,תרומות,FALSE,MAX 7495
10.8.2025,ספט׳.25,תחום אזרחים ותיקים וקהילות נזקקות,,0.9,הוצאה,תרומות,FALSE,MAX 7495
10.3.2025,אפר׳.25,עיגול לתחום אנשים עם מוגבלויות,,0.97,הוצאה,תרומות,FALSE,MAX 7495
10.3.2025,אפר׳.25,תחום אזרחים ותיקים וקהילות נזקקות,,0.98,הוצאה,תרומות,FALSE,MAX 7495
18.3.2025,אפר׳.25,בריין בינה בעמ,,1,הוצאה,בינה מלאכותית,FALSE,MAX 4398
13.1.2026,פבר׳.26,"מגזין אפוק בע""מ",,1,הוצאה,מוזיקה וספרים,FALSE,MAX 4398
10.7.2025,אוג׳.25,עיגול לתחום אנשים עם מוגבלויות,,1.07,הוצאה,תרומות,FALSE,MAX 7495
10.7.2025,אוג׳.25,תחום אזרחים ותיקים וקהילות נזקקות,,1.07,הוצאה,תרומות,FALSE,MAX 7495
11.1.2026,פבר׳.26,עיגול לתחום אנשים עם מוגבלויות,,1.23,הוצאה,תרומות,FALSE,MAX 7495
11.1.2026,פבר׳.26,תחום אזרחים ותיקים וקהילות נזקקות,,1.23,הוצאה,תרומות,FALSE,MAX 7495
11.5.2025,יוני.25,עיגול לתחום אנשים עם מוגבלויות,,1.42,הוצאה,תרומות,FALSE,MAX 7495
11.5.2025,יוני.25,תחום אזרחים ותיקים וקהילות נזקקות,,1.43,הוצאה,תרומות,FALSE,MAX 7495
10.9.2025,אוק׳.25,עיגול לתחום אנשים עם מוגבלויות,,1.48,הוצאה,תרומות,FALSE,MAX 7495
10.9.2025,אוק׳.25,תחום אזרחים ותיקים וקהילות נזקקות,,1.48,הוצאה,תרומות,FALSE,MAX 7495
30.3.2025,אפר׳.25,SURF-ANYWHERE.COM*MCB  ZEEWOLDE      NLD,,1.51,הוצאה,לא מסווג,FALSE,MAX 4398
10.3.2026,אפר׳.26,עיגול לתחום אנשים עם מוגבלויות,,1.54,הוצאה,תרומות,FALSE,MAX 7495
10.3.2026,אפר׳.26,תחום אזרחים ותיקים וקהילות נזקקות,,1.54,הוצאה,תרומות,FALSE,MAX 7495
10.6.2025,יולי.25,עיגול לתחום אנשים עם מוגבלויות,,1.63,הוצאה,תרומות,FALSE,MAX 7495
10.6.2025,יולי.25,תחום אזרחים ותיקים וקהילות נזקקות,,1.64,הוצאה,תרומות,FALSE,MAX 7495
10.10.2025,נוב׳.25,עיגול לתחום אנשים עם מוגבלויות,,1.92,הוצאה,תרומות,FALSE,MAX 7495
10.10.2025,נוב׳.25,תחום אזרחים ותיקים וקהילות נזקקות,,1.92,הוצאה,תרומות,FALSE,MAX 7495
10.4.2026,מאי.26,עיגול לתחום אנשים עם מוגבלויות,,2.46,הוצאה,תרומות,FALSE,MAX 7495
10.4.2026,מאי.26,תחום אזרחים ותיקים וקהילות נזקקות,,2.47,הוצאה,תרומות,FALSE,MAX 7495
12.9.2025,אוק׳.25,חניון קניון מודיעין,,2.5,הוצאה,חניה,FALSE,MAX 4398
19.9.2025,אוק׳.25,חניון קניון מודיעין,,2.5,הוצאה,חניה,FALSE,MAX 4398
9.10.2025,אוק׳.25,חניון קניון מודיעין,,2.5,הוצאה,חניה,FALSE,MAX 4398
18.10.2025,נוב׳.25,חניון קניון מודיעין,,2.5,הוצאה,חניה,FALSE,MAX 4398
24.10.2025,נוב׳.25,חניון קניון מודיעין,,2.5,הוצאה,חניה,FALSE,MAX 4398
26.11.2025,דצמ׳.25,חניון קניון מודיעין,,2.5,הוצאה,חניה,FALSE,MAX 4398
10.12.2025,ינו׳.26,עיגול לתחום אנשים עם מוגבלויות,,2.5,הוצאה,תרומות,FALSE,MAX 7495
10.12.2025,ינו׳.26,תחום אזרחים ותיקים וקהילות נזקקות,,2.5,הוצאה,תרומות,FALSE,MAX 7495
10.2.2026,מרץ.26,עיגול לתחום אנשים עם מוגבלויות,,2.78,הוצאה,תרומות,FALSE,MAX 7495
10.2.2026,מרץ.26,תחום אזרחים ותיקים וקהילות נזקקות,,2.79,הוצאה,תרומות,FALSE,MAX 7495
7.12.2025,דצמ׳.25,חניון קניון מודיעין,,3,הוצאה,חניה,FALSE,MAX 4398
11.12.2025,ינו׳.26,חניון קניון מודיעין,,3,הוצאה,חניה,FALSE,MAX 4398
21.12.2025,ינו׳.26,חניון קניון מודיעין,,3,הוצאה,חניה,FALSE,MAX 4398
21.12.2025,ינו׳.26,חניון קניון מודיעין,,3,הוצאה,חניה,FALSE,MAX 4398
25.12.2025,ינו׳.26,חניון קניון מודיעין,,3,הוצאה,חניה,FALSE,MAX 4398
8.1.2026,ינו׳.26,חניון קניון מודיעין,,3,הוצאה,חניה,FALSE,MAX 4398
24.1.2026,פבר׳.26,חניון קניון מודיעין,,3,הוצאה,חניה,FALSE,MAX 4398
25.1.2026,פבר׳.26,חניון קניון מודיעין,,3,הוצאה,חניה,FALSE,MAX 4398
30.1.2026,פבר׳.26,חניון קניון מודיעין,,3,הוצאה,חניה,FALSE,MAX 4398
5.2.2026,פבר׳.26,חניון קניון מודיעין,,3,הוצאה,חניה,FALSE,MAX 4398
11.2.2026,מרץ.26,חניון קניון מודיעין,,3,הוצאה,חניה,FALSE,MAX 4398
15.2.2026,מרץ.26,חניון קניון מודיעין,,3,הוצאה,חניה,FALSE,MAX 4398
19.2.2026,מרץ.26,חניון קניון מודיעין,,3,הוצאה,חניה,FALSE,MAX 4398
20.2.2026,מרץ.26,חניון קניון מודיעין,,3,הוצאה,חניה,FALSE,MAX 4398
26.2.2026,מרץ.26,חניון קניון מודיעין,,3,הוצאה,חניה,FALSE,MAX 4398
26.2.2026,מרץ.26,חניון קניון מודיעין,,3,הוצאה,חניה,FALSE,MAX 4398
11.3.2026,אפר׳.26,חניון קניון מודיעין,,3,הוצאה,חניה,FALSE,MAX 4398
12.3.2026,אפר׳.26,חניון קניון מודיעין,,3,הוצאה,חניה,FALSE,MAX 4398
15.3.2026,אפר׳.26,המאפה של אודטה,,3,הוצאה,"מזון, סופר ומכולת",FALSE,CAL 8973
18.3.2026,אפר׳.26,חניון קניון מודיעין,,3,הוצאה,חניה,FALSE,MAX 4398
19.3.2026,אפר׳.26,חניון קניון מודיעין,,3,הוצאה,חניה,FALSE,MAX 4398
24.3.2026,אפר׳.26,חניון קניון מודיעין,,3,הוצאה,חניה,FALSE,MAX 4398
25.3.2026,אפר׳.26,חניון קניון מודיעין,,3,הוצאה,חניה,FALSE,MAX 4398
30.3.2026,אפר׳.26,חניון קניון מודיעין,,3,הוצאה,חניה,FALSE,MAX 4398
6.4.2026,אפר׳.26,חניון קניון מודיעין,,3,הוצאה,חניה,FALSE,MAX 4398
6.4.2026,אפר׳.26,חניון קניון מודיעין,,3,הוצאה,חניה,FALSE,MAX 4398
29.4.2026,מאי.26,חניון קניון מודיעין,,3,הוצאה,חניה,FALSE,MAX 4398
4.5.2026,מאי.26,חניון קניון מודיעין,,3,הוצאה,חניה,FALSE,MAX 4398
5.5.2026,מאי.26,חניון קניון מודיעין,,3,הוצאה,חניה,FALSE,MAX 4398
8.10.2025,אוק׳.25,APPLE.COM/BILL         ITUNES.COM    IRL,,3.9,הוצאה,"תקשורת, טלויזיה ואינטרנט",FALSE,MAX 4398
26.8.2025,ספט׳.25,מ.תחבורה - פנגו מוביט,,4,הוצאה,תחבורה ציבורית,FALSE,MAX 4398
2.9.2025,ספט׳.25,"מש - קר בע""מ",,4.5,הוצאה,אוכלים בחוץ - עידן,FALSE,MAX 4398
31.10.2025,נוב׳.25,"מש - קר בע""מ",,4.5,הוצאה,אוכלים בחוץ - עידן,FALSE,MAX 4398
16.2.2026,מרץ.26,"מש - קר בע""מ",,4.5,הוצאה,אוכלים בחוץ - עידן,FALSE,MAX 4398
5.1.2026,ינו׳.26,"אי. פי. אי חניה ובקרה בע""מ",,4.9,הוצאה,חניה,FALSE,CAL 8973
29.4.2026,מאי.26,פנגו-חניונים,,4.9,הוצאה,חניה,FALSE,MAX 4398
17.3.2025,אפר׳.25,פנגו-חניונים,,5,הוצאה,חניה,FALSE,MAX 4398
19.3.2025,אפר׳.25,פנגו-חניונים,,5,הוצאה,חניה,FALSE,MAX 4398
25.3.2025,אפר׳.25,פנגו-חניונים,,5,הוצאה,חניה,FALSE,MAX 4398
5.4.2025,אפר׳.25,פנגו-חניונים,,5,הוצאה,חניה,FALSE,MAX 4398
21.4.2025,מאי.25,פנגו-חניונים,,5,הוצאה,חניה,FALSE,MAX 4398
28.4.2025,מאי.25,"אי. פי. אי חניה ובקרה בע""מ",,5,הוצאה,חניה,FALSE,CAL 8973
30.4.2025,מאי.25,פנגו-חניונים,,5,הוצאה,חניה,FALSE,MAX 4398
5.5.2025,מאי.25,פנגו-חניונים,,5,הוצאה,חניה,FALSE,MAX 4398
6.5.2025,מאי.25,פנגו-חניונים,,5,הוצאה,חניה,FALSE,MAX 4398
8.5.2025,מאי.25,המאפה של אודטה,,5,הוצאה,"מזון, סופר ומכולת",FALSE,CAL 8973
15.5.2025,יוני.25,פנגו-חניונים,,5,הוצאה,חניה,FALSE,MAX 4398
15.5.2025,יוני.25,פנגו-חניונים,,5,הוצאה,חניה,FALSE,MAX 4398
19.5.2025,יוני.25,פנגו-חניונים,,5,הוצאה,חניה,FALSE,MAX 4398
21.5.2025,יוני.25,פנגו-חניונים,,5,הוצאה,חניה,FALSE,MAX 4398
21.5.2025,יוני.25,המאפה של אודטה,,5,הוצאה,"מזון, סופר ומכולת",FALSE,CAL 8973
25.5.2025,יוני.25,פנגו-חניונים,,5,הוצאה,חניה,FALSE,MAX 4398
2.7.2025,יולי.25,פנגו-חניונים,,5,הוצאה,חניה,FALSE,MAX 4398
8.7.2025,יולי.25,פנגו-חניונים,,5,הוצאה,חניה,FALSE,MAX 4398
9.7.2025,יולי.25,פנגו-חניונים,,5,הוצאה,חניה,FALSE,MAX 4398
17.7.2025,אוג׳.25,המאפה של אודטה,,5,הוצאה,"מזון, סופר ומכולת",FALSE,CAL 8973
21.7.2025,אוג׳.25,פנגו-חניונים,,5,הוצאה,חניה,FALSE,MAX 4398
10.8.2025,ספט׳.25,פנגו-חניונים,,5,הוצאה,חניה,FALSE,MAX 4398
11.8.2025,ספט׳.25,פנגו-חניונים,,5,הוצאה,חניה,FALSE,MAX 4398
28.8.2025,ספט׳.25,פנגו-חניונים,,5,הוצאה,חניה,FALSE,MAX 4398
15.11.2025,דצמ׳.25,דני בתי מאפה,,5,הוצאה,אוכלים בחוץ - עידן,FALSE,MAX 4398
21.12.2025,ינו׳.26,המאפה של אודטה,,5,הוצאה,"מזון, סופר ומכולת",FALSE,CAL 8973
19.5.2025,יוני.25,ריבית גישור,,5.11,הוצאה,ריבית ועמלות,FALSE,CAL 8973
4.2.2026,פבר׳.26,פנגו-חניונים,,5.2,הוצאה,חניה,FALSE,MAX 4398
26.2.2026,מרץ.26,"אי. פי. אי חניה ובקרה בע""מ",,5.3,הוצאה,חניה,FALSE,CAL 8973
10.3.2026,אפר׳.26,"סה""ר",,5.35,הוצאה,אוכלים בחוץ - עידן,FALSE,MAX 4398
18.2.2026,מרץ.26,פנגו-חניונים,,5.4,הוצאה,חניה,FALSE,MAX 4398
23.3.2025,אפר׳.25,"מש - קר בע""מ",,5.5,הוצאה,אוכלים בחוץ - עידן,FALSE,MAX 4398
10.6.2025,יולי.25,"סה""ר",,5.61,הוצאה,אוכלים בחוץ - עידן,FALSE,MAX 4398
10.4.2026,מאי.26,"סה""ר",,5.69,הוצאה,אוכלים בחוץ - עידן,FALSE,MAX 4398
11.2.2026,מרץ.26,"אי. פי. אי חניה ובקרה בע""מ",,5.7,הוצאה,חניה,FALSE,CAL 8973
10.10.2025,נוב׳.25,"סה""ר",,5.73,הוצאה,אוכלים בחוץ - עידן,FALSE,MAX 4398
28.1.2026,פבר׳.26,פנגו-חניונים,,5.8,הוצאה,חניה,FALSE,MAX 4398
3.9.2025,ספט׳.25,גולד מרקט,,6,הוצאה,"מזון, סופר ומכולת",FALSE,MAX 7495
27.9.2025,אוק׳.25,ע. סופר ומאפיית העיר,,6,הוצאה,"מזון, סופר ומכולת",FALSE,MAX 7495
22.10.2025,נוב׳.25,גולד מרקט,,6,הוצאה,"מזון, סופר ומכולת",FALSE,MAX 7495
12.11.2025,דצמ׳.25,גולד מרקט,,6,הוצאה,"מזון, סופר ומכולת",FALSE,MAX 7495
11.1.2026,פבר׳.26,המאפה של אודטה,,6,הוצאה,"מזון, סופר ומכולת",FALSE,CAL 8973
25.1.2026,פבר׳.26,הפלאפל של הרצל,,6,הוצאה,"מזון, סופר ומכולת",FALSE,CAL 8973
4.12.2025,דצמ׳.25,"מש - קר בע""מ",,6.5,הוצאה,אוכלים בחוץ - עמית,FALSE,MAX 7495
27.6.2025,יולי.25,מרקט VIP,,7,הוצאה,אוכלים בחוץ - עמית,FALSE,MAX 7495
8.7.2025,יולי.25,סקארה- מודיעין עזריאלי,,7,הוצאה,בריאות וטיפוח - אחר,FALSE,CAL 8973
24.1.2026,פבר׳.26,מיקה מודיעין,,7,הוצאה,אוכלים בחוץ - עמית,FALSE,MAX 7495
